Cresón cocido,135,31,2.6,2.6,5.2,1,313.2,31.1,50,1.1,476.6
Cresón limpio crudo,100,32,2.8,2.8,5.6,1.2,346,69,80,1.3,606
Crucetas crudas,117,21,1.3,1.3,4.3,0.8,25.7,28.1,0,6.8,0
Cuitlacoche cocido,66,20,0.8,0.8,4.1,1.2,0,2.6,ND,0.3,ND
Echalot,34,25,0.9,0.9,5.8,ND,20.6,2.8,11.7,0.4,119.9
Ejotes cocidos picados,63,22,1.2,1.2,4.9,2,21.9,6.1,20.6,0.4,91.3
Elotitos de cambray,64,26,2.1,2.1,4.3,1.8,14,3.9,29.7,0.4,159.2
Envidia cruda,129,22,1.6,1.6,4.3,4,139.3,8.4,183.2,1.1,405.1
Espárragos crudos,90,22,2.3,2.3,3.8,2.8,49,10,131,0.7,144
Espinaca cocida,90,21,2.7,2.7,3.4,3.2,471.6,8.8,131.1,3.2,419
Espinaca cruda picada,120,28,3.4,3.4,4.4,2.6,562.8,33.7,232.8,3.3,669.6
Flor de calabaza cocida,134,20,1.4,1.4,4.4,1.2,116.6,6,54,1.2,142
Flor de calabaza cruda picada,132,20,1.2,1.2,4.4,ND,128,36,76,0.9,228
Flor de colorín cocida,40,24,1.8,1.8,4,1,2.6,14.8,ND,1,ND
Flor de colorín cruda,40,24,1.8,1.8,4,1,2.6,14.8,ND,1,ND
Flor de garambullo cruda,50,19,0.4,0.4,4.1,0.4,10.5,20,ND,2.2,ND
Flor de maguey cruda,60,21,0.5,0.5,4.4,0.4,14.4,35.4,ND,0.5,ND
Flor de Yuca cruda,75,29,2,2,4.5,0.5,0.8,204.8,ND,0.5,ND
Germen de alfalfa cruda,99,23,4,4,2.1,1.9,7.9,8.1,35.6,1,78
Germen de lenteja crudo,19,20,1.7,1.7,4.3,ND,0.4,3.2,19.3,0.6,62
Germen de soya cocidpo,31,25,2.7,1.4,2.1,0.3,0.6,2.6,25.1,0.4,111.3
Granos de elote crudos,21,18,0.7,0.2,4,0.6,1.9,0.4,9.7,0.1,56.7
Haba verde,32,23,1.8,0.2,3.7,1.3,5.8,10.6,30.7,0.6,80
Hojas de amaranto cocidas,100,21,2.1,0.2,4.1,ND,139,41.1,57,2.3,641
Hojas de amaranto crudas,84,19,2.1,0.3,3.4,ND,122.6,36.4,71.4,1.9,513.2
Hojas de chicoria cruda,130,26,1.6,0.3,4.4,1.2,133.3,9.1,184.6,1,408.2
Hojas de dientes de león,45,24,1.2,0.3,4.1,0.8,49.1,15.8,ND,1.4,178.7
Hojas de pata de paloma,25,20,0.8,0.4,4.2,0.4,21.9,11.1,ND,1.5,ND
"Hojas de remolacha,  crudas",64,14,1.4,0.1,2.8,2.4,202.2,19.2,9.6,1.6,487.7
"Hojas de remolacha, hervida",72,19,1.9,0.1,3.9,2.1,603.4,17.9,10.1,1.4,654.5
Hongos porrtobello crudo,81,21,2,0.2,4.1,1.2,0,0,17.9,0.5,394.4
Hongos shiitake deshidratados,4,11,0.3,0,2.7,0.4,0,0.1,5.9,0.1,55.2
Hongos crudos,63,17,2,0.3,2.8,1.6,0,1.9,13.2,2.7,233.1
Huanzontle,40,24,1.8,0.3,4.8,1.1,50.4,18,ND,2.4,ND
Huitlacoche cocido,66,20,8,0.1,4.1,1.2,0,2.6,ND,0.3,107.5
Ibes frescos,17,22,1.7,0,3.6,0.5,7.2,2.6,ND,0.2,107.3
Jicama picada,60,23,4,0.1,5.3,2.9,0.6,12.1,7.2,0.4,90
Jitomate,113,20,1,0.2,4.4,1.4,47.4,14.3,16.9,0.3,267.3
Jitomate bola,108,19,1,0.2,4.2,1.3,45.5,13.7,16.2,0.3,256.5
Jitomate cereza,95,17,0.8,0.2,3.7,1.1,39.9,12.1,14.3,0.3,225.2
Jitomate deshidratado,10,23,1.5,0.5,4.3,2,5,5,0,0.5,0
Jitomate guaje o saladet,124,22,1.1,0.2,4.8,1.5,51.9,15.7,18.5,0.3,292.7
Jitomate verde,123,28,1.5,0.2,6.3,1.4,39.4,29,11,0.6,251
Jitomatillo (miltomate),60,21,0.9,0.1,4.3,0.9,150.5,51.2,5.4,3.6,124.6
Jugo de tomate,122,21,0.9,0.1,5.1,0.5,27.9,22.2,24.3,0.5,278.2
Jugo de verduras,121,23,0.8,0.1,5.5,1,94.4,33.5,25.4,0.5,233.5
Jugo de zanahoria,59,24,0.6,0.1,5.5,0.5,564,5,2.4,0.3,172.2
Lechuga,135,23,1.7,0.4,4.5,2.8,392.5,32.5,184.1,1.3,334.3
Lengua de vaca,99,27,2,0.7,3.2,0.8,198,47.5,ND,2.4,386.1
Lenteja germinada cocida,19,19,1.7,0.1,4.1,ND,0.4,2.4,12.9,0.6,54.7
Malva,85,34,4.1,0.5,3.3,0.8,255,29.8,ND,1.7,ND
"Mezcla de verduras congeladas, cocidas sin sal",46,30,1.3,0.1,4.6,2,97.4,1.5,8.6,0.4,76.9
