Gajos de mandarina,105,105,56,0.9,0.3,14,1.9,113.4,75.6,8.4,0.3,186.9,11.1
Gajos de naranja,150,150,71,1.4,0.2,17.7,3.6,18,79.5,45,0.2,271.5,14
Gajos de toronja,150,150,50,0.8,0.2,12.6,1.7,0,0,0,0,0,11
Giotilla,200,130,66,2.3,1,13.9,2,0,22.1,0,4.3,0,0
Granada chica,120,67,65,1.5,0.5,15.7,7.3,18.8,20.2,13.4,1.1,233.9,0
Granada roja,190,87,44,0.9,0.3,15.5,2.4,0,5.2,0,0.3,226.4,0
Grosellas,150,150,66,1.3,0.9,15.3,6.4,22,42,9,0.5,297,0
Grosellas en almibar,63,63,46,0.4,0.1,11.8,1.5,4.5,6.3,1.9,0.2,48.5,0
Grosellas negras,112,112,71,1.6,0.5,17.2,0,13,203,0,1.7,361,0
Grosellas rojas o blancas,112,112,63,1.6,0.2,15.5,4.8,2,46,9,1.1,308,8.3
Guanábana,350,238,90,1,3.8,15.5,9,92.8,50,0,5.5,0,0
Guayaba,135,124,63,1,0.7,14.8,7,39.7,227.3,0,0.4,252.7,0
Guayaba rosa,90,77,52,2,0.7,11,4.1,6.9,28,0,0.2,223.2,6.8
Higo,80,72,53,0.6,0.1,13.8,2.1,10.1,1.4,4.3,0.3,167,11.7
Higo deshidratado,19,19,47,0.6,0.2,11.9,1.8,2.4,0.1,1.4,0.4,133.1,9
Jinicuil,250,50,73,6,0.5,13.5,0.5,10,14,0,1,0,0
Jugod de limón,180,180,45,0.7,0,15.6,0.7,3.7,82.6,22.9,0.1,223.5,4.3
Jugo de mamey,80,80,52,0.6,0.1,12.5,0.2,0,0,0,0,0,0
Jugo de mandarina natural,120,120,46,0.8,0,11.3,1.4,0,0,0,0,0,9.9
Jugo de mango,120,120,61,0.1,0.1,15.7,0.4,0,0,0,0,0,14.9
Jugo de naranja natural,120,120,54,0.8,0.2,12.5,0.2,24.2,60,36.3,0.2,240,10.1
Jugo de papaya,79,79,45,0.1,0.1,11.5,0.5,0,0,0,0,0,11
Jugo de toronja natural,120,120,47,0.6,0.1,11,0.1,1,45.7,12.1,0.2,194.3,10.1
Kiwi,132,114,69,1.2,0.6,16.6,3.4,20.9,110.5,43.3,0.5,376.4,10.2
Lichis,180,90,59,0.7,0.3,14.9,1.2,0,0,0,0,0,13.7
Lima,234,147,44,1,0.3,15.5,4.1,5.1,78.8,15.3,0.9,203.3,2.5
Limón real,232,153,31,1.8,0.5,16.4,7.2,0,45.9,0,2.4,0,0
Mamey,137,85,58,1.4,0.5,13.7,3.8,51.7,19.5,0,2,0,0
Mandarina,180,128,68,1,0.4,17,2.3,138,92,10.2,0.4,227.5,13.5
Mandarina reyna,200,142,75,1.2,0.4,18.9,2.6,153.4,102.2,11.4,0.4,252.8,15
Mango ataúlfo,95,62,40,0.3,0.2,10.5,1.1,84.6,17.3,0,0.1,96.3,0
Mango criollo,300,162,57,1.3,0,14.6,1.8,388.8,129.6,0,2.1,306.2,0
Mango en almibar enlatado,61,61,56,0.3,0.1,15,0.1,31.7,19.5,0,0.5,0,0
mango manila,207,145,62,1.2,0,16.1,1.6,486.9,110.1,0,1.2,273.9,0
Mango petacón,200,110,72,0.6,0.3,12.9,1.2,150.7,38.8,0,0.1,171.6,0
Mango picado,165,165,58,1.3,0,14.9,1.8,226.1,46.2,0,0.2,257.4,0
Mangosteno enlatado en jarabe,98,98,72,0.4,0.6,17.6,1.8,2,3,30.4,0.3,47,0
Manzana,138,106,55,0.3,0.2,14.7,2.6,5.4,6.2,3.1,0.2,122.4,11
Manzana al vapor,86,86,44,0.2,0.1,11.7,2.1,3.5,0,0.5,0.2,75,8.9
