Cebada,20,69,2.2,0.5,15.3,2.1,4.6,5.4,0.4,1.3,0.1
Cebada perla cocida,52,64,1.2,0.2,14.8,2,8.3,5.7,0.7,1.7,ND
Centeno,22,72,2.6,0.4,15.9,0.4,0,8.2,0.8,0,ND
Cereal Avena Flakes,19,68,1.9,1.1,12.6,1.9,0,0,0,53.1,2.8
Cereal Chewy para niños varios sabores,14,52,0.9,0.7,10.5,1.2,0,0,0,46.7,3.3
Cereal con almendras y pasas,19,70,1.5,0.7,16.5,1.6,33.3,9.3,2.1,100,4
Cereal de arroz,17,67,1.4,0.5,14.1,1.1,2.5,9.1,7.9,2,0.2
Cereal de arroz inflado con chocolate,16,62,1.1,0.6,13.8,1.2,3,4.5,0.2,1.9,1.5
Cereal con avena con maple,27,65,4.6,1.9,17.6,4.1,13.8,15.5,1.4,0.9,ND
"Cereal de avena integral, seco",19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,68.3,3.1
Cereal de galleta de chispa de chocolate,15,60,0.5,0.8,13,0.6,0,50,2.3,85,ND
Cereal de maíz reventado  con azúcar,16,59,0.5,0.5,13.6,0.6,0,25.8,9.9,620,ND
Cereales de maíz reventado sabor chocolate y crema de cacahucate,14,61,0.9,1.6,10.6,0.6,0,46.7,2.3,93.3,ND
Cereal de salvado de trigo,21,54,2.6,0.7,15.3,6.7,66.7,66.7,3,189.3,4
Cereal de trigo con canela,13,58,0.4,1.6,10.7,0.4,44.4,17.8,2,93.3,4.4
Cereal de trigo sabor frutas,15,60,0.5,0.8,13,0,50,10,2.1,100,6.5
Cereal integral con pasitas,20,66,2,0.5,15.7,2.7,33.3,11.7,1.5,130,6
Cereal Multibran Flakes,19,65,2.4,1.3,11.1,2.6,0,0,0,90.6,0.4
Cereal Multibran pasas,19,66,2,1,12.1,2.3,0,0,0,71.9,3.9
Cereal multigrano,20,67,2.3,0.5,14.7,2.4,5.5,7,0.6,0.5,0.1
Cereal sin azúcar,14,51,1.2,0.1,12,0.6,50,0.5,4.1,152,1
Codito crudo,20,74,2.5,0.2,15,0.1,5,5.4,0.3,0.4,ND
Coditos con crema deshidratados,15,61,1.9,1.5,9.6,0,0,0,0.2,122.9,ND
Couscous,52,58,2,0.1,12,0.7,ND,4.3,0.2,2.6,0.1
Crepa,30,69,1.6,1,13.1,0.5,0.2,0.3,0.3,147.5,ND
Crepas para rellenar,30,69,2.3,1.4,11.6,0.3,0.2,0.3,0.3,116.4,ND
