Huevo congelado sin colesterol,60,96,6.8,6.7,1.9,1,81,44,1.2,120,2
Huevo de tortuga,45,51,5.6,2.8,0.4,0,28.9,27.6,0.7,0,0
Jamón bajo en grasa,42,56,8.1,2.1,0.5,19.5,0,3,0.3,600,7.3
Jamón de pavo,42,54,8,2.1,0.1,23.6,0,4.4,1.2,418.5,7.3
Jamón de pierna,42,56,8.1,2.1,0.5,19.5,0,3,0.3,600,12.3
Lomo de cerdo,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,12.8
Lomo de cerdo en trozos,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,12.8
Maciza de carnero,40,54,7.6,2.4,0,26,0,2.8,0.9,30,15.2
Maciza de ternera,35,55,6.9,2.8,0,31.5,0,3.9,1.1,31.5,5.5
Milanesa de cerdo,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
Milanesa de ternera,35,55,6.9,2.8,0,31.5,0,3.9,1.1,31.5,5.5
Molida de cerdo,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,9.8
Molida de res,30,54,6.2,3,0,19.5,1.8,3.6,0.9,19.5,5.7
Molida de sirloin,25,51,7.6,2,0,22.3,0,2.8,0.8,16.5,4.6
Molida especial,30,54,6.2,3,0,19.5,1.8,3.6,0.9,19.5,5.7
Molida regular de res (10% grasa),30,54,6.2,3,0,19.5,1.8,3.6,0.9,19.5,5.7
Muslo de pollo crudo sin piel,45,54,8.8,1.8,0,37.4,9,4.5,0.5,38.7,6.1
Ostión cocido,35,57,6.6,1.6,3.5,35,51.1,5.8,3.2,74.1,53.9
Ostión crudo,75,61,7.1,1.7,3.7,37.5,60.9,6.2,3.8,79.4,57.8
Ostión cultivado,126,75,6.6,2,6.9,31.5,10.5,55.5,7.3,225,80.3
Ostión cultivado cocido,88,70,6.1,1.9,6.4,32.9,16.4,49.3,6.8,143.5,68.4
Ostión en jugo,70,57,6.6,1.6,3.5,35,56.8,5.8,3.6,74.1,53.9
Ostión enlatado,100,69,7.1,2.5,3.9,55.3,90.6,44.7,6.7,111.8,77.5
Pámpano,33,55,6.2,3.1,0,16.3,0,5.5,0,15.3,11.9
Pámpano cocido,25,53,5.9,3,0,15.9,9.1,10.9,0.2,19.1,11.7
Pámpano fileteado,35,60,6.7,3.3,0,17.5,0,6,0,16.5,12.8
Pancita de puerco,35,55,5.8,3.4,0,67.6,0,3.5,0.8,18.2,9
Pasta de anchoas,28,56,5.6,3.2,1.2,0,0,0,0,0,0
Pasta de camarón,30,54,6.2,2.8,0.5,0,0,0,0.1,0,0
Pasta de langosta,28,52,6,2.8,0.4,0,0,20,0.4,0,0
Pastrami de pavo,42,59,7.7,2.6,0.7,22.8,0,3.7,0.7,439.2,6.8
Pato de crianza,39,51,7.1,2.3,0,30,9.4,4.3,0.9,28.9,5.4
Pavo,36,57,7.3,2.8,0,26,0.7,5.3,0.5,23.1,13.1
Pavo entero,36,57,7.3,2.8,0,26,0.7,5.3,0.5,23.1,11.7
Pechuga de pollo con piel,30,55,6,3.3,0,19.9,11.6,3.3,0.2,19.3,4.9
Pescado blanco,39,52,7.4,2.3,0,23.4,14.2,10.1,0.1,19.7,5.5
Pescado blanco cocido,30,52,7.3,2.3,0,22.9,11.6,9.9,0.1,19.4,4.2
Pescado blanco fileteado,35,47,6.7,2.1,0,21,12.6,9.1,0.1,17.9,4.4
Pescuezo de pollo sin piel,38,58,6.6,3.3,0,31.1,16.5,10.1,0.8,30.4,4.5
Pescuezo de res,33,50,6.7,2.4,0,19.8,37.7,1.6,0.6,25.4,6.1
Pierna de carnero,40,54,7.6,2.4,0,26,0,2.8,0.9,30,15.2
Pierna de cerdo,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
Pierna de cordero,26,49,7.2,2,0,22.7,0,2,0.5,17.3,2.7
Pierna de pollo cin piel cocida,26,47,6.7,2.1,0,ND,ND,ND,ND,ND,6.8
Pierna de pollo cin piel cruda,43,52,8.7,1.6,0,34.6,7.8,4.8,0.4,37.2,5.8
Pierna de cerdo,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
Pulpa de cerdo,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4
Pulpa de ternera,38,59,7.5,3,0,34.2,0,4.2,1.1,34.2,5.9
Queso cheddar bajo en grasa,30,53,7.4,2.1,0.5,6.4,19.3,126.4,0.1,186.4,4.4
Queso cotage cremoso,54,56,6.8,2.5,1.5,7.7,25.1,32.8,0.1,217.9,4.9
Queso de soya,56,84,7,4.6,3.8,0,2,106,0,12,0
Queso fresco,40,58,6.1,2.8,2,0,28,273.6,0.1,0,3.6
Queso fresco de cabra,30,52,7.1,1.5,2.6,7.8,12,260.1,1.7,ND,2.7
Queso fresco de vaca,40,58,6.1,2.8,2,0,28,273.6,0.1,0,3.6
Queso Oaxaca Lala Light,30,64,7.8,3.3,0.8,ND,ND,230,ND,190,ND
Queso panela,40,58,6.1,2.8,2,0,28,273.6,0.1,0,4.8
Queso panela Lala Light,30,52,5.7,2.7,1.2,ND,ND,200,ND,180,ND
Queso ricotta reducido en grasa,45,62,5.1,3.6,2.3,13.8,48.3,122.3,0,56.3,0
Retazo de carnero,50,56,7.1,2.8,0,32.5,0,8.5,1.1,37.5,19
Rib eye sin grasa,25,56,7,2.9,0,20,0,3.3,0.6,17.3,4.3
