Salmón de aceite,35,71,7.6,4.9,0,28,6.3,27.7,0.3,165.6,16.1
Sardina en aceite,36,75,8.9,4.1,0,51.1,11.5,137.5,1.1,181.8,19
Sardina en tomate,38,71,7.9,4,0.3,23.2,12.2,91.2,0.9,157.3,15.4
Sesos de cerdo cocidos,50,69,6.1,4.8,0,1276,0,4.5,0.9,45.5,9.3
Sesos de cordero cocidos,50,73,6.3,5.1,0,1021.5,0,6,0.8,67,6
Sesos de ternera cocidos,50,68,5.7,4.8,0,1550,0,8,0.8,78,5.5
Sierra,38,78,7.3,5.2,0,30,50.6,1.9,0.4,0,5.3
Sierra fileteada,35,73,6.8,4.9,0,28,47.3,1.8,0.4,0,4.9
Sierra picada,35,73,6.8,4.9,0,28,47.3,1.8,0.4,0,4.9
Suarero crudo,29,76,7.8,4.8,0,20.9,0,1.7,1,20.3,0
Sustituto de queso mozzarella,28,69,3.2,3.4,6.6,ND,122,171,0.1,192,0
