Ajonjoli,10,61,2.7,5.7,1,0.8,2.2,2.5,0,3.9
Ajonjoli tostado,13,75,2.2,6.3,3.4,0.9,2.4,2.8,0,5.1
Almendra,12,66,2.7,6.6,0.5,0.5,4.3,1.3,0,0.5
Almendra acaramelada,12,72,2.2,6,3.4,0.4,3.3,1.5,0,15.9
Alemndra ahumada,12,71,2.6,6.4,2.1,0,0,0,0,73.7
Almendra deshidratada,12,71,2.4,6.3,2.4,0.6,4.1,1.3,0,1.3
Almendra fileteada,12,72,2.5,6.5,2.2,0.5,4.3,1.4,0,0
Almendra picada,10,62,2.1,5.2,1.8,0.4,0,1.2,0,0
Almendra tostada,12,71,2,6.3,3,0.6,4.1,1.3,0,1.3
Avellana,13,72,2.5,6.5,2.3,0,0,0,0,0
Avellana picada,12,71,2.4,6.4,2.3,0,0,0,0,0
Avellana salada,11,72,1.8,7.1,1.6,0,0,0,0,15.6
Avellana tostada,11,75,1.1,7.5,2,0.6,5.9,0.7,0,0.4
Cacahuate,12,73,2.9,6.2,2.7,0.9,3.1,1.9,0,100.6
Cacahuate acaramelado,14,75,3,6.5,2.5,1,3.5,2,0,57.8
Cacahucate cocido,20,64,2.7,4.4,4.3,0.6,2.2,1.4,0,150
Cacahuate con cáscara,12,70,2.8,6,0.2,0.8,1.9,1.7,0,0.6
Cacahuate con pepitas,12,75,2.8,6,2.4,0.8,2.8,2.4,0,144
Cacahuate con piel,14,72,3.4,6.3,2.9,1.4,2.9,1.9,0,50.6
Cacahuate enchilado,12,67,2.9,5.9,2.1,0.8,2.9,1.7,0,79.4
Cacahuate japonés,14,68,2.7,3.6,6.3,0,0,0,0,270
Cacahuate picado,12,74,3,6.2,2.7,0.9,3.1,1.9,0,101.9
Cacahuate salado,12,71,3.2,5.5,2.4,1,2.9,1.6,0,34
Cacahuate tostado,12,69,2.8,5.9,2.5,0.8,2.9,1.8,0,96.1
Cacahuates confitados,14,72,1.4,4.3,7.1,1.5,0,0.6,0.7,36.7
Cacahuates cubiertos con salsa y limón,13,72,2.6,4.6,5.3,0,0,0,0,124.7
Cacoa con cáscara,14,70,1.9,5.9,3.3,3.4,2.4,0.1,0,0.5
Cacoa pataste,12,72,2.1,6.5,2.6,3.6,2.5,0.1,0,0.5
Cacao sin cascara,12,67,1.9,5.9,2.5,3.2,2.3,0.1,0,0.5
Chía,49,69,3.5,5.9,1.9,1.2,0.9,3.5,0,12.3
Chilorio,30,64,5,4.7,0.7,0.7,0,0,17.1,203.1
Chilorio de pavo,30,64,5,4.7,0.7,0.7,0,0,17.1,203.1
Chistorra,15,73,1.7,7,0.7,0,0,0,25.5,156.8
Chorizo,15,64,3.5,5.6,0,2.1,2.4,0.4,16.2,11.5
Chorizo de pollo,35,72,5,5.7,0.1,0,0,0,5.3,302.4
Chorizo vegetariano,15,70,4.1,5.7,0.2,0,0,0,0,0
Coroso,14,72,0.8,7.5,1.6,0,0,0,0,0
"Falafel, hecho en casa",20,67,2.7,3.5,6.4,0,0,0,0,0
Harina de ajonjolí,13,69,4,4.9,3.5,0.7,1.9,2.1,0,5.6
Harina de almendras,11,66,2.2,5.7,2.5,0.6,3.7,1.2,0,0.8
Harina de cacahuate,15,65,5.1,3.3,4.8,0.5,1.7,1.1,0,0
Hot nuts,13,68,2.1,4.2,5.3,0.8,ND,ND,ND,133.5
"Hummus, de garbanzo (1 cda)",20,67,2.7,3.5,6.4,0,0,0,0,0
Jamón serrano,15,70,2.4,3.9,6.7,1.5,ND,ND,ND,3257
Kkwatte sabritas  japonés,15,74,2.4,4.2,6.6,0,0,0,0,69
Kkwatte sabritas  salados,10,60,2,5.2,1.2,0,0,0,0,60
Mafer tostados sazonados,12,66,2.7,5.4,1.7,0,0,0,0,76.8
Mantequilla de cacachuate,11,63,2.6,5.3,2.3,1,2.5,1.5,0,52
Mazapan Azteca Oreo,15,75,1.5,3.5,9.5,0.5,0,0,0,9
Mazapan sin azúcar,25,73,4,5,3,0,0,0,0,0
Nueces mixtas,12,74,2,6.8,2.6,1,3.8,1.6,0,78.2
Nuez,9,67,0.9,7,1.3,0.6,4.2,1.9,0,0.1
Nuez acaramelada,12,64,1.7,5.6,3,1.3,3,1.3,0,38.6
Nuez de castilla,9,67,0.9,7,1.3,0.6,4.2,1.9,0,0.1
Nuez de la india acaramelada,12,64,1.7,5.6,3,1.3,3,1.3,0,38.6
Nuez de la india con almendras,12,73,2.1,6.4,2.6,0.9,3.9,1.7,0,40.7
Nuez de la india sin sal,11,66,1.9,5.2,2.7,1,3.2,1,0,32
