Pescado blanco ahumado,32,35,7.5,0.3,0,10.5,18.2,5.6,0.2,326.1,4.3
Pescado en trozo,39,35,7.3,0.5,0,18.7,3.9,6.9,0.1,31.6,12.8
Pescado entero,39,35,7.3,0.5,0,18.7,3.9,6.9,0.1,31.6,12.8
Pescado fileteado,40,36,7.5,0.5,0,19.2,4,7.1,0.1,32.4,13.1
Pescado rebenado,39,35,7.3,0.5,0,18.7,3.9,6.9,0.1,31.6,12.8
Pescado seco tipo bacalao,12,34,7.4,0.3,0,17.8,5,18.7,0.3,822.2,17.3
Pez espada cocido,28,43,7.1,1.4,0,14,11.5,1.6,0.3,32.3,17.3
Pez espada crudo,36,43,7.1,1.4,0,13.9,13,1.3,0.3,32.2,17.2
Pez espada crudo fileteado,36,44,7.1,1.4,0,14,13.2,1.3,0.3,32.5,17.4
Pez espada crudo rebanado,36,43,7.1,1.4,0,13.9,13,1.3,0.3,32.2,17.2
Pollo crudo sin piel,26,48,4.6,3.1,0,21.2,10.5,2.8,0.2,17.9,6
Pollo crudo sin piel en piezas,26,49,4.7,3.2,0,21.6,9.4,2.6,0.3,20.5,6.1
Pollo deshebrado,38,43,8.7,0.6,0,21.8,30,4.5,0.3,25.5,2.1
Pollo sin piel cocido,30,48,8.7,1.2,0,23.1,2.4,3.9,0.3,19.5,6.7
Proteina aislada de soya,10,34,8.1,0.3,0.7,1.6,28,17.8,1.5,100.5,0.1
Proteina concentrda de soya,10,33,5.8,0,3.1,0,0,36.3,1.1,0.3,0.1
Pulmón de cerdo,48,41,6.7,1.3,0,153.1,0,3.3,9,73.2,8.5
Pulpa de jaiba,46,38,8,0.6,0,36,300.8,19.9,0.4,18.9,6.5
Pulpo cocido,25,41,7.5,0.5,1.1,24.1,22.5,26.5,2.4,115,22.4
Pilopo crudo,45,37,6.7,0.5,1,21.7,20.1,23.8,2.4,103.5,20.2
Puntas de filete,30,36,7.2,0.8,0,14.1,41.7,2.7,0.5,18,5.7
Puntas de res,30,36,7.2,0.8,0,14.1,41.7,2.7,0.5,18,5.7
Queso Cotagge Lala Light,30,35,6.5,0.5,1,ND,ND,ND,ND,200,ND
Queso cottage,48,43,6.6,0.9,1.7,4,10.1,32.9,0.1,195,4.9
Queso cottage 1% grasa,57,41,7,0.6,1.5,2.5,6.3,34.5,0.1,229.5,5.1
Queso cottage 2% grasa,48,43,6.6,0.9,1.7,4,10.1,32.9,0.1,195,4.9
Queso cottage bajo en grasa,57,41,7,0.6,1.5,2.5,6.3,34.5,0.1,229.5,5.1
Queso Mozzarella cero grasa,28,39,8.9,0,1,5,36,26.9,0.1,208,0
Queso suizo muy bajo en grasa,28,50,8,1.4,1,10,11,26.9,0.1,73,0
Retazo de pescado crudo,35,35,7.2,5,0,12.8,10.7,11.1,0.1,22.2,4.9
Riñones de carnero crudos,36,39,6.5,1.2,0.3,135,108,14.4,1.5,0,78.8
Riñones de cerdo cocidos,28,42,7.1,1.3,0,134.4,21.8,3.6,1.5,22.4,87.2
Riñones de res cocidos,25,40,6.8,1.2,0,179,0,4.8,1.5,23.5,42
Riñones de ternera cocidos,25,41,6.6,1.4,0,197.8,50.3,7.3,0.8,27.5,25
Roast beef,33,36,6.6,0.9,0.5,15.6,0,1.9,0.6,328.8,6.4
Robalo cocido,30,34,7.3,0.3,0,22.2,5.6,12.7,0.4,26.1,12.2
Robaalo crudo,38,33,7.2,0.3,0,21.8,6.5,12.6,0.4,26.1,11.6
Robalo fileteado,40,35,7.6,0.3,0,22.8,6.8,13.2,0.4,27.3,12.1
Salmón ahumado,35,41,6.4,1.5,0,8.1,9.1,3.7,0.3,274.4,11.3
Sast orugas,65,35,7,0.8,0,ND,14.3,35.1,2.7,ND,ND
Surimi,40,39,6,0.4,2.7,11.9,7.9,3.7,0.1,56.6,11.1
Suirimi imitacion camaron,40,40,4.9,0.6,3.7,14.6,8,7.5,0.2,282,9.2
Tampiqueña,30,36,7.2,0.8,0,14.1,41.7,2.7,0.5,18,5.7
Tampiqueña de filete,30,36,7.2,0.8,0,14.1,41.7,2.7,0.5,18,5.7
Trucha fresca,35,42,7.2,1.2,0,20.6,6.6,23.5,0.2,10.7,
Venado cocido    (carne magra),23,42,6,1.8,0,22.1,0,3.2,0.8,17.6,2.3
Venado crudo         (carne magra),27,42,5.9,1.9,0,21.6,0,3,0.8,20.3,2.7
